dataset_ID,link
118,https://cdn.sofifa.net/players/220/890/18_240.png
119,https://cdn.sofifa.net/players/223/188/18_240.png
120,https://cdn.sofifa.net/players/211/592/18_240.png
121,https://cdn.sofifa.net/players/241/551/20_240.png
122,https://cdn.sofifa.net/players/240/730/20_240.png
123,https://cdn.sofifa.net/players/233/738/18_240.png
124,https://cdn.sofifa.net/players/209/979/18_240.png
125,https://cdn.sofifa.net/players/211/515/18_240.png
126,https://cdn.sofifa.net/players/220/715/18_240.png
127,https://cdn.sofifa.net/players/224/387/18_240.png
128,https://cdn.sofifa.net/players/168/354/18_240.png
129,https://cdn.sofifa.net/players/239/207/18_240.png
130,https://cdn.sofifa.net/players/247/854/20_240.png
131,https://cdn.sofifa.net/players/212/151/18_240.png
132,https://cdn.sofifa.net/players/226/414/18_240.png
133,https://cdn.sofifa.net/players/220/165/18_240.png
134,https://cdn.sofifa.net/players/225/706/20_240.png
135,https://cdn.sofifa.net/players/210/859/18_240.png
136,https://cdn.sofifa.net/players/218/970/18_240.png
137,https://cdn.sofifa.net/players/236/791/18_240.png
138,https://cdn.sofifa.net/players/229/237/18_240.png
139,https://cdn.sofifa.net/players/210/617/18_240.png
140,https://cdn.sofifa.net/players/240/043/18_240.png
141,https://cdn.sofifa.net/players/208/622/18_240.png
142,https://cdn.sofifa.net/players/148/122/18_240.png
143,https://cdn.sofifa.net/players/239/741/18_240.png
144,https://cdn.sofifa.net/players/226/790/18_240.png
145,https://cdn.sofifa.net/players/229/026/18_240.png
146,https://cdn.sofifa.net/players/186/253/18_240.png
147,https://cdn.sofifa.net/players/138/110/18_240.png
148,https://cdn.sofifa.net/players/235/212/18_240.png
149,https://cdn.sofifa.net/players/188/671/18_240.png
150,https://cdn.sofifa.net/players/189/690/18_240.png
151,https://cdn.sofifa.net/players/189/332/18_240.png
152,https://cdn.sofifa.net/players/169/426/18_240.png
153,https://cdn.sofifa.net/players/148/119/18_240.png
154,https://cdn.sofifa.net/players/183/280/18_240.png
155,https://cdn.sofifa.net/players/193/469/18_240.png
156,https://cdn.sofifa.net/players/226/215/18_240.png
157,https://cdn.sofifa.net/players/178/562/18_240.png
158,https://cdn.sofifa.net/players/205/069/18_240.png
159,https://cdn.sofifa.net/players/190/286/18_240.png
160,https://cdn.sofifa.net/players/189/513/18_240.png
161,https://cdn.sofifa.net/players/205/070/18_240.png
162,https://cdn.sofifa.net/players/186/581/18_240.png
163,https://cdn.sofifa.net/players/124/635/18_240.png
164,https://cdn.sofifa.net/players/106/231/18_240.png
165,https://cdn.sofifa.net/players/200/454/18_240.png
166,https://cdn.sofifa.net/players/183/899/18_240.png
167,https://cdn.sofifa.net/players/178/086/18_240.png
168,https://cdn.sofifa.net/players/209/960/18_240.png
169,https://cdn.sofifa.net/players/229/148/18_240.png
170,https://cdn.sofifa.net/players/201/818/18_240.png
171,https://cdn.sofifa.net/players/200/724/18_240.png
172,https://cdn.sofifa.net/players/155/862/18_240.png
173,https://cdn.sofifa.net/player_0.svg
174,https://cdn.sofifa.net/players/200/677/18_240.png
175,https://cdn.sofifa.net/players/201/535/18_240.png
176,https://cdn.sofifa.net/players/176/676/18_240.png
177,https://cdn.sofifa.net/players/212/190/18_240.png
178,https://cdn.sofifa.net/players/185/020/18_240.png
179,https://cdn.sofifa.net/players/163/711/18_240.png
180,https://cdn.sofifa.net/players/178/085/18_240.png
181,https://cdn.sofifa.net/players/179/846/18_240.png
182,https://cdn.sofifa.net/players/176/635/18_240.png
183,https://cdn.sofifa.net/players/170/797/18_240.png
184,https://cdn.sofifa.net/players/165/153/18_240.png
185,https://cdn.sofifa.net/players/020/801/18_240.png
186,https://cdn.sofifa.net/players/167/664/18_240.png
187,https://cdn.sofifa.net/players/188/135/18_240.png
188,https://cdn.sofifa.net/players/183/141/18_240.png
189,https://cdn.sofifa.net/players/175/254/18_240.png
190,https://cdn.sofifa.net/players/146/530/18_240.png
191,https://cdn.sofifa.net/players/198/141/18_240.png
192,https://cdn.sofifa.net/players/192/476/18_240.png
193,https://cdn.sofifa.net/players/199/577/18_240.png
194,https://cdn.sofifa.net/players/194/644/18_240.png
195,https://cdn.sofifa.net/players/192/766/18_240.png
196,https://cdn.sofifa.net/players/205/659/18_240.png
197,https://cdn.sofifa.net/players/201/400/18_240.png
198,https://cdn.sofifa.net/players/189/509/18_240.png
199,https://cdn.sofifa.net/players/189/511/18_240.png
200,https://cdn.sofifa.net/players/199/564/18_240.png
201,https://cdn.sofifa.net/players/220/488/18_240.png
202,https://cdn.sofifa.net/players/170/370/18_240.png
203,https://cdn.sofifa.net/players/000/041/18_240.png
204,https://cdn.sofifa.net/players/211/320/18_240.png
205,https://cdn.sofifa.net/players/210/548/18_240.png
206,https://cdn.sofifa.net/players/200/315/18_240.png
207,https://cdn.sofifa.net/players/158/023/18_240.png
208,https://cdn.sofifa.net/players/220/475/18_240.png
209,https://cdn.sofifa.net/players/187/607/18_240.png
210,https://cdn.sofifa.net/players/171/897/18_240.png
211,https://cdn.sofifa.net/players/147/621/18_240.png
212,https://cdn.sofifa.net/players/206/585/18_240.png
213,https://cdn.sofifa.net/players/186/680/18_240.png
214,https://cdn.sofifa.net/players/114/764/18_240.png
215,https://cdn.sofifa.net/players/235/383/18_240.png
216,https://cdn.sofifa.net/players/189/576/18_240.png
