id;dateutc;competition;season; stadiums_id;home_club;away_club;winner;goal_by_home_club;goal_by_away_club
1123;27.08.2017 16:15;Spanish first division;2017;1505;Eibar;Athletic Club;Athletic Club;0;1
775;12.05.2018 16:30;Spanish first division;2018;1474;Deportivo La Coruna;Villarreal;Villarreal;2;4
793;29.04.2018 18:45;Spanish first division;2018;1474;Deportivo La Coruna;Barcelona;Barcelona;2;4
839;6.04.2018 19:00;Spanish first division;2018;1474;Deportivo La Coruna;Malaga;Deportivo La Coruna;3;2
911;12.02.2018 20:00;Spanish first division;2018;1474;Deportivo La Coruna;Real Betis;Real Betis;0;1
956;13.01.2018 19:45;Spanish first division;2018;1474;Deportivo La Coruna;Valencia;Valencia;1;2
971;23.12.2017 17:30;Spanish first division;2017;1474;Deportivo La Coruna;Celta de Vigo;Celta de Vigo;1;3
996;9.12.2017 17:30;Spanish first division;2017;1474;Deportivo La Coruna;Leganes;Deportivo La Coruna;1;0
1037;4.11.2017 15:15;Spanish first division;2017;1474;Deportivo La Coruna;Atletico Madrid;Atletico Madrid;0;1
1050;23.10.2017 19:00;Spanish first division;2017;1474;Deportivo La Coruna;Girona;Girona;1;2
1078;30.09.2017 11:00;Spanish first division;2017;1474;Deportivo La Coruna;Getafe;Deportivo La Coruna;2;1
1095;20.09.2017 19:00;Spanish first division;2017;1474;Deportivo La Coruna;Deportivo Alaves;Deportivo La Coruna;1;0
1114;10.09.2017 10:00;Spanish first division;2017;1474;Deportivo La Coruna;Real Sociedad;Real Sociedad;2;4
1132;20.08.2017 20:15;Spanish first division;2017;1474;Deportivo La Coruna;Real Madrid;Real Madrid;0;3
765;19.05.2018 16:30;Spanish first division;2018;1534;Sevilla;Deportivo Alaves;Sevilla;1;0
780;9.05.2018 19:30;Spanish first division;2018;1534;Sevilla;Real Madrid;Sevilla;3;2
791;4.05.2018 19:00;Spanish first division;2018;1534;Sevilla;Real Sociedad;Sevilla;1;0
867;10.03.2018 15:15;Spanish first division;2018;1534;Sevilla;Valencia;Valencia;0;2
878;3.03.2018 15:15;Spanish first division;2018;1534;Sevilla;Athletic Club;Sevilla;2;0
891;25.02.2018 19:45;Spanish first division;2018;1534;Sevilla;Atletico Madrid;Atletico Madrid;2;5
915;11.02.2018 11:00;Spanish first division;2018;1534;Sevilla;Girona;Sevilla;1;0
967;6.01.2018 19:45;Spanish first division;2018;1534;Sevilla;Real Betis;Real Betis;3;5
1006;2.12.2017 17:30;Spanish first division;2017;1534;Sevilla;Deportivo La Coruna;Sevilla;2;0
1026;18.11.2017 17:30;Spanish first division;2017;1534;Sevilla;Celta de Vigo;Sevilla;2;1
1046;28.10.2017 20:30;Spanish first division;2017;1534;Sevilla;Leganes;Sevilla;2;1
1077;30.09.2017 14:15;Spanish first division;2017;1534;Sevilla;Malaga;Sevilla;2;0
1093;20.09.2017 20:00;Spanish first division;2017;1534;Sevilla;Las Palmas;Sevilla;1;0
1116;9.09.2017 16:30;Spanish first division;2017;1534;Sevilla;Eibar;Sevilla;3;0
772;12.05.2018 18:45;Spanish first division;2018;1522;Real Madrid;Celta de Vigo;Real Madrid;6;0
798;28.04.2018 16:30;Spanish first division;2018;1522;Real Madrid;Leganes;Real Madrid;2;1
850;18.03.2018 19:45;Spanish first division;2018;1522;Real Madrid;Girona;Real Madrid;6;3
875;3.03.2018 19:45;Spanish first division;2018;1522;Real Madrid;Getafe;Real Madrid;3;1
897;24.02.2018 15:15;Spanish first division;2018;1522;Real Madrid;Deportivo Alaves;Real Madrid;4;0
916;10.02.2018 19:45;Spanish first division;2018;1522;Real Madrid;Real Sociedad;Real Madrid;5;2
944;21.01.2018 15:15;Spanish first division;2018;1522;Real Madrid;Deportivo La Coruna;Real Madrid;7;1
958;13.01.2018 15:15;Spanish first division;2018;1522;Real Madrid;Villarreal;Villarreal;0;1
973;23.12.2017 12:00;Spanish first division;2017;1522;Real Madrid;Barcelona;Barcelona;0;3
997;9.12.2017 15:15;Spanish first division;2017;1522;Real Madrid;Sevilla;Real Madrid;5;0
1017;25.11.2017 15:15;Spanish first division;2017;1522;Real Madrid;Malaga;Real Madrid;3;2
1030;5.11.2017 19:45;Spanish first division;2017;1522;Real Madrid;Las Palmas;Real Madrid;3;0
1052;22.10.2017 18:45;Spanish first division;2017;1522;Real Madrid;Eibar;Real Madrid;3;0
1070;1.10.2017 18:45;Spanish first division;2017;1522;Real Madrid;Espanyol;Real Madrid;2;0
1094;20.09.2017 20:00;Spanish first division;2017;1522;Real Madrid;Real Betis;Real Betis;0;1
785;6.05.2018 14:15;Spanish first division;2018;1538;Atletico Madrid;Espanyol;Espanyol;0;2
822;15.04.2018 14:15;Spanish first division;2018;1538;Atletico Madrid;Levante;Atletico Madrid;3;0
841;1.04.2018 18:45;Spanish first division;2018;1538;Atletico Madrid;Deportivo La Coruna;Atletico Madrid;1;0
863;11.03.2018 15:15;Spanish first division;2018;1538;Atletico Madrid;Celta de Vigo;Atletico Madrid;3;0
883;28.02.2018 20:30;Spanish first division;2018;1538;Atletico Madrid;Leganes;Atletico Madrid;4;0
904;18.02.2018 15:15;Spanish first division;2018;1538;Atletico Madrid;Athletic Club;Atletico Madrid;2;0
922;4.02.2018 19:45;Spanish first division;2018;1538;Atletico Madrid;Valencia;Atletico Madrid;1;0
934;28.01.2018 15:15;Spanish first division;2018;1538;Atletico Madrid;Las Palmas;Atletico Madrid;3;0
970;6.01.2018 12:00;Spanish first division;2018;1538;Atletico Madrid;Getafe;Atletico Madrid;2;0
986;16.12.2017 19:45;Spanish first division;2017;1538;Atletico Madrid;Deportivo Alaves;Atletico Madrid;1;0
1007;2.12.2017 15:15;Spanish first division;2017;1538;Atletico Madrid;Real Sociedad;Atletico Madrid;2;1
1089;23.09.2017 11:00;Spanish first division;2017;1538;Atletico Madrid;Sevilla;Atletico Madrid;2;0
1105;16.09.2017 18:45;Spanish first division;2017;1538;Atletico Madrid;Malaga;Atletico Madrid;1;0
1151;9.05.2018 19:00;English first division;2018;373;Manchester City;Brighton & Hove Albion;Manchester City;3;1
1177;22.04.2018 15:30;English first division;2018;373;Manchester City;Swansea City;Manchester City;5;0
1198;7.04.2018 16:30;English first division;2018;373;Manchester City;Manchester United;Manchester United;2;3
1254;10.02.2018 17:30;English first division;2018;373;Manchester City;Leicester City;Manchester City;5;1
1270;31.01.2018 20:00;English first division;2018;373;Manchester City;West Bromwich Albion;Manchester City;3;0
1282;20.01.2018 17:30;English first division;2018;373;Manchester City;Newcastle United;Manchester City;3;1
1304;2.01.2018 20:00;English first division;2018;373;Manchester City;Watford;Manchester City;3;1
1333;23.12.2017 15:00;English first division;2017;373;Manchester City;AFC Bournemouth;Manchester City;4;0
1343;16.12.2017 17:30;English first division;2017;373;Manchester City;Tottenham Hotspur;Manchester City;4;1
1370;3.12.2017 16:00;English first division;2017;373;Manchester City;West Ham United;Manchester City;2;1
1381;29.11.2017 20:00;English first division;2017;373;Manchester City;Southampton;Manchester City;2;1
1434;21.10.2017 14:00;English first division;2017;373;Manchester City;Burnley;Manchester City;3;0
1446;14.10.2017 14:00;English first division;2017;373;Manchester City;Stoke City;Manchester City;7;2
1465;23.09.2017 14:00;English first division;2017;373;Manchester City;Crystal Palace;Manchester City;5;0
1489;9.09.2017 11:30;English first division;2017;373;Manchester City;Liverpool;Manchester City;5;0
1176;23.04.2018 19:00;English first division;2018;380;Everton;Newcastle United;Everton;1;0
1208;31.03.2018 16:30;English first division;2018;380;Everton;Manchester City;Manchester City;1;3
1255;10.02.2018 15:00;English first division;2018;380;Everton;Crystal Palace;Everton;3;1
1274;31.01.2018 19:45;English first division;2018;380;Everton;Leicester City;Everton;2;1
1306;1.01.2018 17:30;English first division;2018;380;Everton;Manchester United;Manchester United;0;2
1340;18.12.2017 20:00;English first division;2017;380;Everton;Swansea City;Everton;3;1
1374;2.12.2017 15:00;English first division;2017;380;Everton;Huddersfield Town;Everton;2;0
1411;5.11.2017 16:30;English first division;2017;380;Everton;Watford;Everton;3;2
1431;22.10.2017 12:30;English first division;2017;380;Everton;Arsenal;Arsenal;2;5
1451;1.10.2017 13:15;English first division;2017;380;Everton;Burnley;Burnley;0;1
1464;23.09.2017 14:00;English first division;2017;380;Everton;AFC Bournemouth;Everton;2;1
1486;9.09.2017 14:00;English first division;2017;380;Everton;Tottenham Hotspur;Tottenham Hotspur;0;3
1515;12.08.2017 14:00;English first division;2017;380;Everton;Stoke City;Everton;1;0
382;19.05.2018 19:00;French first division;2018;474;Olympique Lyonnais;Nice;Olympique Lyonnais;3;2
407;6.05.2018 14:30;French first division;2018;474;Olympique Lyonnais;Troyes;Olympique Lyonnais;3;0
418;28.04.2018 15:00;French first division;2018;474;Olympique Lyonnais;Nantes;Olympique Lyonnais;2;0
438;14.04.2018 15:00;French first division;2018;474;Olympique Lyonnais;Amiens SC;Olympique Lyonnais;3;0
451;1.04.2018 19:00;French first division;2018;474;Olympique Lyonnais;Toulouse;Olympique Lyonnais;2;0
471;11.03.2018 16:00;French first division;2018;474;Olympique Lyonnais;Caen;Olympique Lyonnais;1;0
511;11.02.2018 20:00;French first division;2018;474;Olympique Lyonnais;Rennes;Rennes;0;2
540;21.01.2018 20:00;French first division;2018;474;Olympique Lyonnais;PSG;Olympique Lyonnais;2;1
580;17.12.2017 20:00;French first division;2017;474;Olympique Lyonnais;Olympique Marseille;Olympique Lyonnais;2;0
613;29.11.2017 18:00;French first division;2017;474;Olympique Lyonnais;Lille;Lille;1;2
653;29.10.2017 14:00;French first division;2017;474;Olympique Lyonnais;Metz;Olympique Lyonnais;2;0
680;13.10.2017 18:45;French first division;2017;474;Olympique Lyonnais;Monaco;Olympique Lyonnais;3;2
711;10.09.2017 15:00;French first division;2017;474;Olympique Lyonnais;Guingamp;Olympique Lyonnais;2;1
753;5.08.2017 18:00;French first division;2017;474;Olympique Lyonnais;Strasbourg;Olympique Lyonnais;4;0
1536;5.05.2018 13:30;German first division;2018;564;Hannover 96;Hertha BSC;Hannover 96;3;1
1553;21.04.2018 13:30;German first division;2018;564;Hannover 96;Bayern Munchen;Bayern Munchen;0;3
1581;31.03.2018 13:30;German first division;2018;564;Hannover 96;RB Leipzig;RB Leipzig;2;3
1599;10.03.2018 14:30;German first division;2018;564;Hannover 96;Augsburg;Augsburg;1;3
1616;24.02.2018 14:30;German first division;2018;564;Hannover 96;Borussia M'gladbach;Borussia M'gladbach;0;1
1635;10.02.2018 14:30;German first division;2018;564;Hannover 96;Freiburg;Hannover 96;2;1
1646;28.01.2018 17:00;German first division;2018;564;Hannover 96;Wolfsburg;Wolfsburg;0;1
1670;13.01.2018 14:30;German first division;2018;564;Hannover 96;Mainz 05;Hannover 96;3;2
1692;10.12.2017 14:30;German first division;2017;564;Hannover 96;Hoffenheim;Hannover 96;2;0
1743;28.10.2017 13:30;German first division;2017;564;Hannover 96;Borussia Dortmund;Hannover 96;4;2
1761;14.10.2017 13:30;German first division;2017;564;Hannover 96;Eintracht Frankfurt;Eintracht Frankfurt;1;2
1798;15.09.2017 18:30;German first division;2017;564;Hannover 96;Hamburger SV;Hannover 96;2;0
1808;27.08.2017 16:00;German first division;2017;564;Hannover 96;Schalke 04;Hannover 96;1;0
1153;9.05.2018 18:45;English first division;2018;391;Leicester City;Arsenal;Leicester City;3;1
1161;5.05.2018 14:00;English first division;2018;391;Leicester City;West Ham United;West Ham United;0;2
1201;7.04.2018 14:00;English first division;2018;391;Leicester City;Newcastle United;Newcastle United;1;2
1286;20.01.2018 15:00;English first division;2018;391;Leicester City;Watford;Leicester City;2;0
1308;1.01.2018 15:00;English first division;2018;391;Leicester City;Huddersfield Town;Leicester City;3;0
1349;16.12.2017 12:30;English first division;2017;391;Leicester City;Crystal Palace;Crystal Palace;0;3
1375;2.12.2017 15:00;English first division;2017;391;Leicester City;Burnley;Leicester City;1;0
1389;28.11.2017 19:45;English first division;2017;391;Leicester City;Tottenham Hotspur;Leicester City;2;1
1406;18.11.2017 15:00;English first division;2017;391;Leicester City;Manchester City;Manchester City;0;2
1421;29.10.2017 16:00;English first division;2017;391;Leicester City;Everton;Leicester City;2;0
1462;23.09.2017 16:30;English first division;2017;391;Leicester City;Liverpool;Liverpool;2;3
1487;9.09.2017 14:00;English first division;2017;391;Leicester City;Chelsea;Chelsea;1;2
1506;19.08.2017 14:00;English first division;2017;391;Leicester City;Brighton & Hove Albion;Leicester City;2;0
1147;13.05.2018 14:00;English first division;2018;1817;Swansea City;Stoke City;Stoke City;1;2
1169;28.04.2018 16:30;English first division;2018;1817;Swansea City;Chelsea;Chelsea;0;1
1236;3.03.2018 15:00;English first division;2018;1817;Swansea City;West Ham United;Swansea City;4;1
1257;10.02.2018 15:00;English first division;2018;1817;Swansea City;Burnley;Swansea City;1;0
1278;30.01.2018 19:45;English first division;2018;1817;Swansea City;Arsenal;Swansea City;3;1
1280;22.01.2018 20:00;English first division;2018;1817;Swansea City;Liverpool;Swansea City;1;0
1302;2.01.2018 19:45;English first division;2018;1817;Swansea City;Tottenham Hotspur;Tottenham Hotspur;0;2
1354;13.12.2017 19:45;English first division;2017;1817;Swansea City;Manchester City;Manchester City;0;4
1367;9.12.2017 15:00;English first division;2017;1817;Swansea City;West Bromwich Albion;Swansea City;1;0
1418;4.11.2017 15:00;English first division;2017;1817;Swansea City;Brighton & Hove Albion;Brighton & Hove Albion;0;1
1447;14.10.2017 14:00;English first division;2017;1817;Swansea City;Huddersfield Town;Swansea City;2;0
1468;23.09.2017 14:00;English first division;2017;1817;Swansea City;Watford;Watford;1;2
1481;10.09.2017 15:00;English first division;2017;1817;Swansea City;Newcastle United;Newcastle United;0;1
1509;19.08.2017 11:30;English first division;2017;1817;Swansea City;Manchester United;Manchester United;0;4
1149;13.05.2018 14:00;English first division;2018;394;West Ham United;Everton;West Ham United;3;1
1168;29.04.2018 13:15;English first division;2018;394;West Ham United;Manchester City;Manchester City;1;4
1209;31.03.2018 14:00;English first division;2018;394;West Ham United;Southampton;West Ham United;3;0
1228;10.03.2018 15:00;English first division;2018;394;West Ham United;Burnley;Burnley;0;3
1258;10.02.2018 15:00;English first division;2018;394;West Ham United;Watford;West Ham United;2;0
1303;2.01.2018 19:45;English first division;2018;394;West Ham United;West Bromwich Albion;West Ham United;2;1
1337;23.12.2017 15:00;English first division;2017;394;West Ham United;Newcastle United;Newcastle United;2;3
1369;9.12.2017 12:30;English first division;2017;394;West Ham United;Chelsea;West Ham United;1;0
1414;4.11.2017 17:30;English first division;2017;394;West Ham United;Liverpool;Liverpool;1;4
1439;20.10.2017 19:00;English first division;2017;394;West Ham United;Brighton & Hove Albion;Brighton & Hove Albion;0;3
1458;30.09.2017 14:00;English first division;2017;394;West Ham United;Swansea City;West Ham United;1;0
1480;11.09.2017 19:00;English first division;2017;394;West Ham United;Huddersfield Town;West Ham United;2;0
1537;5.05.2018 13:30;German first division;2018;576;Stuttgart;Hoffenheim;Stuttgart;2;0
1554;21.04.2018 13:30;German first division;2018;576;Stuttgart;Werder Bremen;Stuttgart;2;0
1617;24.02.2018 14:30;German first division;2018;576;Stuttgart;Eintracht Frankfurt;Stuttgart;1;0
1629;11.02.2018 14:30;German first division;2018;576;Stuttgart;Borussia M'gladbach;Stuttgart;1;0
1653;27.01.2018 14:30;German first division;2018;576;Stuttgart;Schalke 04;Schalke 04;0;2
1671;13.01.2018 14:30;German first division;2018;576;Stuttgart;Hertha BSC;Stuttgart;1;0
1680;16.12.2017 14:30;German first division;2017;576;Stuttgart;Bayern Munchen;Bayern Munchen;0;1
1699;8.12.2017 19:30;German first division;2017;576;Stuttgart;Bayer Leverkusen;Bayer Leverkusen;0;2
1726;17.11.2017 19:30;German first division;2017;576;Stuttgart;Borussia Dortmund;Stuttgart;2;1
1736;29.10.2017 17:00;German first division;2017;576;Stuttgart;Freiburg;Stuttgart;3;0
1762;13.10.2017 18:30;German first division;2017;576;Stuttgart;Koln;Stuttgart;2;1
1797;16.09.2017 13:30;German first division;2017;576;Stuttgart;Wolfsburg;Stuttgart;1;0
1815;26.08.2017 13:30;German first division;2017;576;Stuttgart;Mainz 05;Stuttgart;1;0
1144;13.05.2018 14:00;English first division;2018;407;Manchester United;Watford;Manchester United;1;0
1167;29.04.2018 15:30;English first division;2018;407;Manchester United;Arsenal;Manchester United;2;1
1187;15.04.2018 15:00;English first division;2018;407;Manchester United;West Bromwich Albion;West Bromwich Albion;0;1
1211;31.03.2018 14:00;English first division;2018;407;Manchester United;Swansea City;Manchester United;2;0
1229;10.03.2018 12:30;English first division;2018;407;Manchester United;Liverpool;Manchester United;2;1
1241;25.02.2018 14:05;English first division;2018;407;Manchester United;Chelsea;Manchester United;2;1
1267;3.02.2018 15:00;English first division;2018;407;Manchester United;Huddersfield Town;Manchester United;2;0
1290;15.01.2018 20:00;English first division;2018;407;Manchester United;Stoke City;Manchester United;3;0
1351;13.12.2017 20:00;English first division;2017;407;Manchester United;AFC Bournemouth;Manchester United;1;0
1395;25.11.2017 15:00;English first division;2017;407;Manchester United;Brighton & Hove Albion;Manchester United;1;0
1402;18.11.2017 17:30;English first division;2017;407;Manchester United;Newcastle United;Manchester United;4;1
1429;28.10.2017 11:30;English first division;2017;407;Manchester United;Tottenham Hotspur;Manchester United;1;0
1455;30.09.2017 14:00;English first division;2017;407;Manchester United;Crystal Palace;Manchester United;4;0
1470;17.09.2017 15:00;English first division;2017;407;Manchester United;Everton;Manchester United;4;0
1510;13.08.2017 15:00;English first division;2017;407;Manchester United;West Ham United;Manchester United;4;0
1522;12.05.2018 13:30;German first division;2018;580;Hertha BSC;RB Leipzig;RB Leipzig;2;6
1561;14.04.2018 13:30;German first division;2018;580;Hertha BSC;Koln;Hertha BSC;2;1
1627;16.02.2018 19:30;German first division;2018;580;Hertha BSC;Mainz 05;Mainz 05;0;2
1683;13.12.2017 19:30;German first division;2017;580;Hertha BSC;Hannover 96;Hertha BSC;3;1
1701;3.12.2017 14:30;German first division;2017;580;Hertha BSC;Eintracht Frankfurt;Eintracht Frankfurt;1;2
1720;18.11.2017 17:30;German first division;2017;580;Hertha BSC;Borussia M'gladbach;Borussia M'gladbach;2;4
1740;28.10.2017 13:30;German first division;2017;580;Hertha BSC;Hamburger SV;Hertha BSC;2;1
1759;14.10.2017 13:30;German first division;2017;580;Hertha BSC;Schalke 04;Schalke 04;0;2
1781;20.09.2017 18:30;German first division;2017;580;Hertha BSC;Bayer Leverkusen;Hertha BSC;2;1
1821;19.08.2017 13:30;German first division;2017;580;Hertha BSC;Stuttgart;Hertha BSC;2;0
1527;12.05.2018 13:30;German first division;2018;581;Mainz 05;Werder Bremen;Werder Bremen;1;2
1539;29.04.2018 13:30;German first division;2018;581;Mainz 05;RB Leipzig;Mainz 05;3;0
1556;16.04.2018 17:30;German first division;2018;581;Mainz 05;Freiburg;Mainz 05;2;0
1600;9.03.2018 19:30;German first division;2018;581;Mainz 05;Schalke 04;Schalke 04;0;1
1643;3.02.2018 14:30;German first division;2018;581;Mainz 05;Bayern Munchen;Bayern Munchen;0;2
1661;20.01.2018 14:30;German first division;2018;581;Mainz 05;Stuttgart;Mainz 05;3;2
1688;12.12.2017 19:30;German first division;2017;581;Mainz 05;Borussia Dortmund;Borussia Dortmund;0;2
1707;2.12.2017 14:30;German first division;2017;581;Mainz 05;Augsburg;Augsburg;1;3
1724;18.11.2017 14:30;German first division;2017;581;Mainz 05;Koln;Mainz 05;1;0
1760;14.10.2017 13:30;German first division;2017;581;Mainz 05;Hamburger SV;Mainz 05;3;2
1778;23.09.2017 13:30;German first division;2017;581;Mainz 05;Hertha BSC;Mainz 05;1;0
1784;20.09.2017 18:30;German first division;2017;581;Mainz 05;Hoffenheim;Hoffenheim;2;3
1805;9.09.2017 13:30;German first division;2017;581;Mainz 05;Bayer Leverkusen;Mainz 05;3;1
1823;19.08.2017 13:30;German first division;2017;581;Mainz 05;Hannover 96;Hannover 96;0;1
397;12.05.2018 19:00;French first division;2018;478;PSG;Rennes;Rennes;0;2
431;15.04.2018 19:00;French first division;2018;478;PSG;Monaco;PSG;7;1
469;14.03.2018 16:00;French first division;2018;478;PSG;Angers SCO;PSG;2;1
478;10.03.2018 16:00;French first division;2018;478;PSG;Metz;PSG;5;0
490;25.02.2018 20:00;French first division;2018;478;PSG;Olympique Marseille;PSG;3;0
509;17.02.2018 16:00;French first division;2018;478;PSG;Strasbourg;PSG;5;2
538;27.01.2018 16:00;French first division;2018;478;PSG;Montpellier;PSG;4;0
550;17.01.2018 20:00;French first division;2018;478;PSG;Dijon;PSG;8;0
573;20.12.2017 19:50;French first division;2017;478;PSG;Caen;PSG;3;1
598;9.12.2017 16:00;French first division;2017;478;PSG;Lille;PSG;3;1
610;29.11.2017 20:00;French first division;2017;478;PSG;Troyes;PSG;2;0
638;18.11.2017 16:00;French first division;2017;478;PSG;Nantes;PSG;4;1
660;27.10.2017 18:45;French first division;2017;478;PSG;Nice;PSG;3;0
688;30.09.2017 15:00;French first division;2017;478;PSG;Bordeaux;PSG;6;2
700;17.09.2017 19:00;French first division;2017;478;PSG;Olympique Lyonnais;PSG;2;0
729;25.08.2017 18:45;French first division;2017;478;PSG;Saint;PSG;3;0
730;20.08.2017 19:00;French first division;2017;478;PSG;Toulouse;PSG;6;2
758;5.08.2017 15:15;French first division;2017;478;PSG;Amiens SC;PSG;2;0
771;13.05.2018 14:15;Spanish first division;2018;1535;Espanyol;Malaga;Espanyol;4;1
815;18.04.2018 16:30;Spanish first division;2018;1535;Espanyol;Eibar;Eibar;0;1
864;11.03.2018 11:00;Spanish first division;2018;1535;Espanyol;Real Sociedad;Espanyol;2;1
889;27.02.2018 19:00;Spanish first division;2018;1535;Espanyol;Real Madrid;Espanyol;1;0
974;22.12.2017 20:30;Spanish first division;2017;1535;Espanyol;Atletico Madrid;Espanyol;1;0
990;11.12.2017 20:00;Spanish first division;2017;1535;Espanyol;Girona;Girona;0;1
1010;27.11.2017 20:00;Spanish first division;2017;1535;Espanyol;Getafe;Espanyol;1;0
1023;19.11.2017 15:15;Spanish first division;2017;1535;Espanyol;Valencia;Valencia;0;2
1040;30.10.2017 20:00;Spanish first division;2017;1535;Espanyol;Real Betis;Espanyol;1;0
1085;24.09.2017 10:00;Spanish first division;2017;1535;Espanyol;Deportivo La Coruna;Espanyol;4;1
1100;18.09.2017 19:00;Spanish first division;2017;1535;Espanyol;Celta de Vigo;Espanyol;2;1
1122;27.08.2017 16:15;Spanish first division;2017;1535;Espanyol;Leganes;Leganes;0;1
1530;5.05.2018 13:30;German first division;2018;585;RB Leipzig;Wolfsburg;RB Leipzig;4;1
1565;9.04.2018 18:30;German first division;2018;585;RB Leipzig;Bayer Leverkusen;Bayer Leverkusen;1;4
1583;18.03.2018 17:00;German first division;2018;585;RB Leipzig;Bayern Munchen;RB Leipzig;2;1
1611;25.02.2018 17:00;German first division;2018;585;RB Leipzig;Koln;Koln;1;2
1636;9.02.2018 19:30;German first division;2018;585;RB Leipzig;Augsburg;RB Leipzig;2;0
1666;13.01.2018 17:30;German first division;2018;585;RB Leipzig;Schalke 04;RB Leipzig;3;1
1673;17.12.2017 17:00;German first division;2017;585;RB Leipzig;Hertha BSC;Hertha BSC;2;3
1713;25.11.2017 14:30;German first division;2017;585;RB Leipzig;Werder Bremen;RB Leipzig;2;0
1730;4.11.2017 14:30;German first division;2017;585;RB Leipzig;Hannover 96;RB Leipzig;2;1
1749;21.10.2017 13:30;German first division;2017;585;RB Leipzig;Stuttgart;RB Leipzig;1;0
1775;23.09.2017 13:30;German first division;2017;585;RB Leipzig;Eintracht Frankfurt;RB Leipzig;2;1
1809;27.08.2017 13:30;German first division;2017;585;RB Leipzig;Freiburg;RB Leipzig;4;1
1531;5.05.2018 13:30;German first division;2018;587;Koln;Bayern Munchen;Bayern Munchen;1;3
1584;18.03.2018 14:30;German first division;2018;587;Koln;Bayer Leverkusen;Koln;2;0
1602;4.03.2018 14:30;German first division;2018;587;Koln;Stuttgart;Stuttgart;2;3
1645;2.02.2018 19:30;German first division;2018;587;Koln;Borussia Dortmund;Borussia Dortmund;2;3
1665;14.01.2018 14:30;German first division;2018;587;Koln;Borussia M'gladbach;Koln;2;1
1677;16.12.2017 14:30;German first division;2017;587;Koln;Wolfsburg;Koln;1;0
1693;10.12.2017 12:30;German first division;2017;587;Koln;Freiburg;Freiburg;3;4
1709;26.11.2017 17:00;German first division;2017;587;Koln;Hertha BSC;Hertha BSC;0;2
1728;5.11.2017 14:30;German first division;2017;587;Koln;Hoffenheim;Hoffenheim;0;3
1763;1.10.2017 16:00;German first division;2017;587;Koln;RB Leipzig;RB Leipzig;1;2
1785;20.09.2017 16:30;German first division;2017;587;Koln;Eintracht Frankfurt;Eintracht Frankfurt;0;1
1816;25.08.2017 18:30;German first division;2017;587;Koln;Hamburger SV;Hamburger SV;1;3
405;6.05.2018 15:00;French first division;2018;479;Rennes;Strasbourg;Rennes;2;1
412;29.04.2018 13:00;French first division;2018;479;Rennes;Toulouse;Rennes;2;1
436;14.04.2018 18:00;French first division;2018;479;Rennes;Metz;Metz;1;2
497;24.02.2018 19:00;French first division;2018;479;Rennes;Troyes;Rennes;2;0
523;4.02.2018 14:00;French first division;2018;479;Rennes;Guingamp;Guingamp;0;1
545;20.01.2018 19:00;French first division;2018;479;Rennes;Angers SCO;Rennes;1;0
568;13.01.2018 16:00;French first division;2018;479;Rennes;Olympique Marseille;Olympique Marseille;0;3
588;16.12.2017 16:00;French first division;2017;479;Rennes;PSG;PSG;1;4
606;2.12.2017 19:00;French first division;2017;479;Rennes;Amiens SC;Rennes;2;0
628;25.11.2017 16:00;French first division;2017;479;Rennes;Nantes;Rennes;2;1
650;3.11.2017 19:45;French first division;2017;479;Rennes;Bordeaux;Rennes;1;0
668;21.10.2017 18:00;French first division;2017;479;Rennes;Lille;Rennes;1;0
687;30.09.2017 18:00;French first division;2017;479;Rennes;Caen;Caen;0;1
702;17.09.2017 15:00;French first division;2017;479;Rennes;Nice;Nice;0;1
748;11.08.2017 18:45;French first division;2017;479;Rennes;Olympique Lyonnais;Olympique Lyonnais;1;2
762;20.05.2018 14:15;Spanish first division;2018;1536;Athletic Club;Espanyol;Espanyol;0;1
802;23.04.2018 19:00;Spanish first division;2018;1536;Athletic Club;Levante;Levante;1;3
824;14.04.2018 18:45;Spanish first division;2018;1536;Athletic Club;Deportivo La Coruna;Deportivo La Coruna;2;3
861;11.03.2018 19:45;Spanish first division;2018;1536;Athletic Club;Leganes;Athletic Club;2;0
893;25.02.2018 15:15;Spanish first division;2018;1536;Athletic Club;Malaga;Athletic Club;2;1
964;7.01.2018 17:30;Spanish first division;2018;1536;Athletic Club;Deportivo Alaves;Athletic Club;2;0
1047;28.10.2017 18:45;Spanish first division;2017;1536;Athletic Club;Barcelona;Barcelona;0;2
1068;14.10.2017 11:00;Spanish first division;2017;1536;Athletic Club;Sevilla;Athletic Club;1;0
1096;20.09.2017 18:00;Spanish first division;2017;1536;Athletic Club;Atletico Madrid;Atletico Madrid;1;2
1113;10.09.2017 14:15;Spanish first division;2017;1536;Athletic Club;Girona;Athletic Club;2;0
6;20.05.2018 16:00;Italian first division;2018;781;Milan;Fiorentina;Milan;5;1
18;12.05.2018 18:45;Italian first division;2018;781;Internazionale;Sassuolo;Sassuolo;1;2
29;5.05.2018 16:00;Italian first division;2018;781;Milan;Hellas Verona;Milan;4;1
38;28.04.2018 18:45;Italian first division;2018;781;Internazionale;Juventus;Juventus;2;3
47;21.04.2018 18:45;Italian first division;2018;781;Milan;Benevento;Benevento;0;1
59;17.04.2018 18:45;Italian first division;2018;781;Internazionale;Cagliari;Internazionale;4;0
92;31.03.2018 13:00;Italian first division;2018;781;Internazionale;Hellas Verona;Internazionale;3;0
101;18.03.2018 14:00;Italian first division;2018;781;Milan;Chievo;Milan;3;2
